dong,dongcode,total
쌍문4동,1110054,7263
아현동,1114078,11965
안암동,1108060,12142
암사1동,1125072,16123
암사2동,1125058,6472
암사3동,1125059,6160
압구정동,1123077,9844
약수동,1102071,7670
양재1동,1122066,18206
양재2동,1122067,11289
양평1동,1119061,6945
양평2동,1119062,14322
여의동,1119054,16010
역삼1동,1123064,32472
역삼2동,1123065,16814
역촌동,1112074,21624
연남동,1114071,10956
연희동,1113076,22099
염리동,1114061,8829
염창동,1116051,17100
영등포동,1119074,24557
영등포본동,1119073,7923
오금동,1124060,15443
오류1동,1117067,12052
오류2동,1117068,21988
오륜동,1124059,2936
옥수동,1104073,9853
왕십리2동,1104052,14114
왕십리도선동,1104071,6693
용강동,1114059,7581
용답동,1104070,7809
용문동,1103059,5750
용산2가동,1103052,6209
용신동,1106081,21226
우이동,1109074,9961
우장산동,1116074,16613
원효로1동,1103072,8732
원효로2동,1103057,6662
월계1동,1111051,10522
월계2동,1111052,13037
월계3동,1111053,11630
월곡1동,1108071,12584
월곡2동,1108072,10866
위례동,1124082,12323
은천동,1121078,16798
을지로동,1102060,1625
응봉동,1104058,5471
응암1동,1112059,15657
응암2동,1112060,10994
응암3동,1112073,13730
이문1동,1106089,13998
이문2동,1106090,8944
이촌1동,1103063,9824
이촌2동,1103064,3621
이태원1동,1103065,4684
이태원2동,1103066,6074
이화동,1101064,5359
인수동,1109075,14482
인헌동,1121062,14255
일원1동,1123073,7575
일원2동,1123074,7015
일원본동,1123072,6664
자양1동,1105064,12326
자양2동,1105065,11351
자양3동,1105066,11062
자양4동,1105067,13266
잠실2동,1124079,7525
잠실3동,1124080,11641
잠실4동,1124075,4765
잠실6동,1124077,6096
잠실7동,1124078,2702
잠실본동,1124071,16400
잠원동,1122055,14789
장안1동,1106087,19680
장안2동,1106088,14365
장위1동,1108076,10499
장위2동,1108077,6726
장위3동,1108078,6248
장지동,1124081,11577
장충동,1102058,3863
전농1동,1106083,14498
전농2동,1106084,7666
정릉1동,1108062,8180
정릉2동,1108063,9241
정릉3동,1108064,7981
정릉4동,1108065,10937
